слой,орган,образец,идентификатор,группа,значение
органоид,желудок,18,ACH-002751,Apoptosis executioners,3.4252090454101562
органоид,желудок,19,ACH-002757,Apoptosis executioners,3.8416061401367188
органоид,желудок,20,ACH-002777,Apoptosis executioners,7.659034729003906
органоид,желудок,28,ACH-002919,Apoptosis executioners,14.622283935546875
органоид,желудок,34,ACH-002952,Apoptosis executioners,5.654945373535156
органоид,желудок,35,ACH-002955,Apoptosis executioners,-10.471733093261719
органоид,желудок,36,ACH-002957,Apoptosis executioners,14.369758605957031
органоид,желудок,37,ACH-002958,Apoptosis executioners,2.5145034790039062
органоид,желудок,38,ACH-002962,Apoptosis executioners,12.647750854492188
органоид,желудок,39,ACH-002963,Apoptosis executioners,12.736404418945312
органоид,желудок,40,ACH-002967,Apoptosis executioners,-1.7811126708984375
органоид,желудок,41,ACH-002968,Apoptosis executioners,1.4157562255859375
органоид,желудок,42,ACH-002969,Apoptosis executioners,5.246612548828125
органоид,желудок,43,ACH-002972,Apoptosis executioners,-0.7522048950195312
органоид,желудок,44,ACH-002978,Apoptosis executioners,1.8294601440429688
органоид,желудок,45,ACH-002979,Apoptosis executioners,5.8242034912109375
органоид,желудок,46,ACH-002982,Apoptosis executioners,-1.918121337890625
органоид,желудок,128,ACH-003416,Apoptosis executioners,-2.8126983642578125
органоид,желудок,129,ACH-003424,Apoptosis executioners,8.757789611816406
органоид,желудок,130,ACH-003425,Apoptosis executioners,18.89373016357422
органоид,желудок,137,ACH-003624,Apoptosis executioners,5.157958984375
органоид,желудок,138,ACH-003626,Apoptosis executioners,-2.0497589111328125
органоид,желудок,139,ACH-003627,Apoptosis executioners,6.968620300292969
органоид,желудок,140,ACH-003628,Apoptosis executioners,3.027618408203125
органоид,желудок,141,ACH-003629,Apoptosis executioners,12.397911071777344
органоид,желудок,142,ACH-003630,Apoptosis executioners,19.358482360839844
органоид,желудок,143,ACH-003631,Apoptosis executioners,10.310554504394531
органоид,желудок,4,ACH-002730,Apoptosis initiators,1.6333541870117188
органоид,желудок,5,ACH-002731,Apoptosis initiators,0.3653564453125
органоид,желудок,6,ACH-002733,Apoptosis initiators,2.908069610595703
органоид,желудок,7,ACH-002734,Apoptosis initiators,3.097463607788086
органоид,желудок,8,ACH-002735,Apoptosis initiators,-0.06716537475585938
органоид,желудок,9,ACH-002736,Apoptosis initiators,-4.141143798828125
органоид,желудок,10,ACH-002737,Apoptosis initiators,3.3002891540527344
органоид,желудок,16,ACH-002746,Apoptosis initiators,1.1309928894042969
органоид,желудок,17,ACH-002748,Apoptosis initiators,5.661672592163086
органоид,желудок,18,ACH-002751,Apoptosis initiators,1.64947509765625
органоид,желудок,19,ACH-002757,Apoptosis initiators,2.858367919921875
органоид,желудок,20,ACH-002777,Apoptosis initiators,1.9463253021240234
органоид,желудок,28,ACH-002919,Apoptosis initiators,5.243923187255859
органоид,желудок,34,ACH-002952,Apoptosis initiators,1.8684158325195312
органоид,желудок,35,ACH-002955,Apoptosis initiators,-9.542232513427734
органоид,желудок,36,ACH-002957,Apoptosis initiators,1.719320297241211
органоид,желудок,37,ACH-002958,Apoptosis initiators,1.9651336669921875
органоид,желудок,38,ACH-002962,Apoptosis initiators,4.026971817016602
органоид,желудок,39,ACH-002963,Apoptosis initiators,1.1672554016113281
органоид,желудок,40,ACH-002967,Apoptosis initiators,2.9403114318847656
органоид,желудок,41,ACH-002968,Apoptosis initiators,2.518535614013672
органоид,желудок,42,ACH-002969,Apoptosis initiators,0.9080142974853516
органоид,желудок,43,ACH-002972,Apoptosis initiators,-5.6710662841796875
органоид,желудок,44,ACH-002978,Apoptosis initiators,5.712715148925781
органоид,желудок,45,ACH-002979,Apoptosis initiators,3.958465576171875
органоид,желудок,46,ACH-002982,Apoptosis initiators,2.251239776611328
органоид,желудок,128,ACH-003416,Apoptosis initiators,1.9261741638183594
органоид,желудок,129,ACH-003424,Apoptosis initiators,5.434665679931641
органоид,желудок,130,ACH-003425,Apoptosis initiators,3.2559642791748047
органоид,желудок,137,ACH-003624,Apoptosis initiators,3.214324951171875
органоид,желудок,138,ACH-003626,Apoptosis initiators,-0.8381690979003906
органоид,желудок,139,ACH-003627,Apoptosis initiators,6.10359001159668
органоид,желудок,140,ACH-003628,Apoptosis initiators,3.7623634338378906
органоид,желудок,141,ACH-003629,Apoptosis initiators,0.1504383087158203
органоид,желудок,142,ACH-003630,Apoptosis initiators,8.826292037963867
органоид,желудок,143,ACH-003631,Apoptosis initiators,1.900655746459961
органоид,желудок,4,ACH-002730,BRAKES,3.7516098022460938
органоид,желудок,5,ACH-002731,BRAKES,3.556842803955078
органоид,желудок,6,ACH-002733,BRAKES,-4.693210601806641
органоид,желудок,7,ACH-002734,BRAKES,-1.1820335388183594
органоид,желудок,8,ACH-002735,BRAKES,-1.0235347747802734
