block	group	gene	source_set	panel_chain	shared_node	organs_with_value	organs_healthy	organs_patient	organs_organoid	organs_2D	in_depmap	in_screen_corpus	scientific_label	figure_label
Recognition	MHC-I presentation	ERAP1	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	HLA-A	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	HLA-B	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	HLA-C	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	NLRC5	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	PSMB8	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	PSMB9	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	TAP1	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	TAP2	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	MHC-I presentation	TAPBP	immune-recognition set		False	6	6	6	6	6			MHC-I antigen processing and presentation	MHC-I processing and presentation
Recognition	NK activating ligands	MICA	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
Recognition	NK activating ligands	MICB	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
Recognition	NK activating ligands	NECTIN2	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
Recognition	NK activating ligands	PVR	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
Recognition	NK activating ligands	RAET1E	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
Recognition	NK activating ligands	ULBP1	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
Recognition	NK activating ligands	ULBP2	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
Recognition	NK activating ligands	ULBP3	immune-recognition set		False	6	6	6	6	6			NK receptor ligands	NK receptor ligands
