layer,gene,score_pp
3D dome models,CCR6,14.8895874023
3D dome models,CD40,1.21427536011
3D dome models,CD8B,2.22302794456
3D dome models,CDCP2,0
3D dome models,CDNF,3.81541538239
3D dome models,CENPH,-1.95236968994
3D dome models,CEP44,-5.22780990601
3D dome models,CEP68,0.998683929443
3D dome models,CFAP69,0.118203163147
3D dome models,CIRBP,1.26598548889
3D dome models,CNGA2,0
3D dome models,CNTRL,-6.48036003113
3D dome models,COL15A1,0
3D dome models,CSNK1A1,-0.787797927856
3D dome models,CSRP2,1.9490070343
3D dome models,CTRB1,0
3D dome models,CXorf66,0
3D dome models,CYP11B1,0
3D dome models,CYP3A5,10.638297081
3D dome models,DEFB126,0
3D dome models,DENND10,3.02828598022
3D dome models,DPH2,-1.37948608398
3D dome models,DUSP3,4.8446521759
3D dome models,EDA2R,0
3D dome models,EDNRB,-2.32376861572
3D dome models,EEF1B2,0.503705978394
3D dome models,ENPP1,3.65758705139
3D dome models,FAHD1,1.91945648193
3D dome models,FAM161B,1.91812038422
3D dome models,FBXO2,8.06334590912
3D dome models,FCRL5,0
3D dome models,FGF16,0
3D dome models,FOXJ3,-0.168569564819
3D dome models,FOXO1,6.17075061798
3D dome models,FSHR,0
3D dome models,FTMT,0
3D dome models,FXR2,-3.37886810303
3D dome models,FYB1,-0.901971340179
3D dome models,GANAB,-0.560117721558
3D dome models,GAS1,2.86542272568
3D dome models,GBF1,1.76633644104
3D dome models,GPNMB,-9.76386165619
3D dome models,GPR137,-1.83282279968
3D dome models,GPR45,0
3D dome models,GRIA1,0
3D dome models,GRIN2D,-1.81133031845
3D dome models,GUCD1,-1.80125808716
3D dome models,HES4,-13.8405323029
3D dome models,HMOX2,0.431844711304
3D dome models,HNRNPU,-0.146409988403
3D dome models,IQSEC3,0
3D dome models,IYD,16.4087672234
3D dome models,IZUMO3,0
3D dome models,KHDC4,-12.7323760986
3D dome models,KLLN,1.25255298615
3D dome models,KNOP1,-1.35194969177
3D dome models,KRTAP5-5,0
3D dome models,LAP3,2.8832244873
3D dome models,LARGE2,9.7940826416
3D dome models,LRFN3,-2.94064235687
3D dome models,LRRC28,5.82487106323
3D dome models,LUZP1,-6.48170471191
3D dome models,LY86,0
3D dome models,LYVE1,0
3D dome models,MAPKBP1,-6.44476890564
3D dome models,MBNL1,0.377445220947
3D dome models,MBTPS2,1.74416923523
3D dome models,MCF2L,4.63276195526
3D dome models,MICALL2,-11.5624303818
3D dome models,MIS18BP1,-11.7061567307
3D dome models,MKRN2OS,8.37161540985
3D dome models,MMP14,-3.39162826538
3D dome models,MPST,12.7108840942
3D dome models,MRPL50,7.91626358032
3D dome models,MRPS26,3.11156654358
3D dome models,NAGA,3.65422916412
3D dome models,NCF4,3.68680143356
3D dome models,NEK4,-1.09270763397
3D dome models,NHSL1,2.30563735962
3D dome models,NKIRAS1,0.613182067871
3D dome models,NLGN2,-3.42453765869
3D dome models,NOLC1,-2.55211448669
3D dome models,NR2C2AP,1.76566314697
3D dome models,NT5DC4,-3.54475688934
3D dome models,OARD1,6.44947052002
3D dome models,OR51G2,0
3D dome models,OR52J3,0
3D dome models,OR5D14,0
3D dome models,OR5J2,0
3D dome models,OTOS,0
3D dome models,OVOL3,-12.2118797302
3D dome models,PCDH8,0
3D dome models,PELI2,9.88542413712
3D dome models,PHF2,1.62227344513
3D dome models,PIGZ,2.97724628448
3D dome models,PODXL,-3.7301197052
3D dome models,PPP1R3B,11.6625022888
3D dome models,PRAC2,4.96991205215
3D dome models,PRKAB1,14.30327034
