слой,орган,organ_en,ModelID,OncotreeCode,OncotreePrimaryDisease,GrowthPattern
2D,желудок,Stomach,ACH-000847,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000858,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-000725,DCIS,Breast Ductal Carcinoma In Situ,Adherent
2D,лёгкое,Lung,ACH-000787,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000749,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,лёгкое,Lung,ACH-000868,LUAS,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000213,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000643,IDC,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000991,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000700,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000672,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-002024,READ,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000186,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000677,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000021,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000009,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000980,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000845,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-000711,IDC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000354,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000012,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000963,COAD,Colorectal Adenocarcinoma,Adherent
2D,желудок,Stomach,ACH-001653,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000698,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,лёгкое,Lung,ACH-003120,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,кишка,Colon,ACH-000342,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000249,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000662,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000867,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-001378,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000248,BRCA,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000261,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000943,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000164,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000783,ILC,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000766,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000343,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-000857,IDC,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-002499,IDC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000535,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000733,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-002544,TSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000774,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000178,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-002886,COAD,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-001145,SOC,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-002654,COAD,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000116,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000921,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-002664,MACR,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-001373,SOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000324,CCOV,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000759,IDC,Invasive Breast Carcinoma,Adherent
2D,яичник,Ovary,ACH-001340,SOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-001369,CCOV,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-000842,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000517,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000681,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-003012,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000108,PAASC,Adenosquamous Carcinoma of the Pancreas,Adherent
2D,лёгкое,Lung,ACH-000482,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-002672,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,желудок,Stomach,ACH-000758,TSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000910,BRCA,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000997,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000779,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000866,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,желудок,Stomach,ACH-002446,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000811,SOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000584,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000586,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,лёгкое,Lung,ACH-000451,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-002662,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000378,LUAS,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000982,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000575,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000379,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000454,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000712,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000161,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000395,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000308,SOC,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-001459,READ,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000511,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000916,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-000144,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000837,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000048,EOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000463,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000467,COAD,Colorectal Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000147,IDC,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000930,IDC,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000861,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000565,READ,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000399,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,кишка,Colon,ACH-002539,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000066,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-000507,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000107,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000022,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000374,IDC,Invasive Breast Carcinoma,Adherent
2D,желудок,Stomach,ACH-000908,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-001461,READ,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000574,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000148,BRCNOS,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000563,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000646,CCOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000562,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000314,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-001705,IDC,Invasive Breast Carcinoma,Adherent
2D,яичник,Ovary,ACH-000430,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-001630,SOC,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-001392,BRCA,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-002650,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000235,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000381,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000403,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000400,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000757,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000893,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000962,SOC,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000668,IDC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000601,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000635,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000966,EOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000924,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-002532,READ,Colorectal Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000876,BRCA,Invasive Breast Carcinoma,Adherent
2D,желудок,Stomach,ACH-000225,STSC,Esophagogastric Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000657,EOV,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-000296,COAD,Colorectal Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000624,DCIS,Breast Ductal Carcinoma In Situ,Adherent
2D,молочная,Breast,ACH-000699,IDC,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000044,ILC,Invasive Breast Carcinoma,Adherent
2D,яичник,Ovary,ACH-000713,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000719,CCOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000892,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-002921,ILC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000042,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000447,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-001396,BRCA,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000093,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000590,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-000356,DSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000339,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-002486,SOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000553,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000789,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000094,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-002170,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,яичник,Ovary,ACH-001278,SCCO,Ovarian Epithelial Tumor,Adherent
2D,желудок,Stomach,ACH-000255,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000352,BRCA,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000416,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000205,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000731,LUAS,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000670,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,панкреас,Pancreas,ACH-000599,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-001419,IDC,Invasive Breast Carcinoma,Adherent
2D,яичник,Ovary,ACH-000103,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000442,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000286,READ,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000841,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000139,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-001390,IDC,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-002025,READ,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-001345,COAD,Colorectal Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-001389,IDC,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000860,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000947,EOV,Ovarian Epithelial Tumor,Adherent
2D,желудок,Stomach,ACH-000764,MSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000744,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000333,MOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000853,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-001664,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000929,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-001395,ILC,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000390,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-002490,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,желудок,Stomach,ACH-000948,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-001683,ILC,Invasive Breast Carcinoma,Adherent
2D,яичник,Ovary,ACH-000617,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000311,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000955,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000675,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-001061,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000496,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000270,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000062,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000155,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000536,IDC,Invasive Breast Carcinoma,Adherent
2D,желудок,Stomach,ACH-000427,TSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000895,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000683,READ,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000878,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-001380,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000851,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000412,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000891,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-003119,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,лёгкое,Lung,ACH-000603,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-001819,IDC,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-001786,COAD,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-001279,SCCO,Ovarian Epithelial Tumor,Adherent
2D,панкреас,Pancreas,ACH-001376,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000470,READ,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000813,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-002039,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000118,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000266,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000434,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-002401,IDC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-001999,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000237,MOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000521,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000089,COAD,Colorectal Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000212,BRCA,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000621,IDC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000265,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000132,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-001628,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000906,CCOV,Ovarian Epithelial Tumor,Adherent
2D,панкреас,Pancreas,ACH-003433,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-001370,SOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000936,MOV,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000849,BRCA,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000028,BRCA,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000665,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000150,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-002531,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-000911,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000013,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-002667,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000652,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000252,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000414,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000091,SOC,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-000007,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000085,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000869,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-002522,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-000277,IDC,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000489,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000023,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000975,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000706,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000460,SOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000443,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-002660,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000986,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000337,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-003121,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,молочная,Breast,ACH-001394,BRCA,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000307,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000281,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000985,COAD,Colorectal Adenocarcinoma,Adherent
