ген,орган,здоровая,пациент,органоид,2D,группа
CFLAR,кишка,21.735977172851562,16.420856475830078,-2.484954833984375,0.3989410400390625,BRAKES
MCL1,кишка,19.432350158691406,8.19632339477539,-0.06716156005859375,-0.06313323974609375,BRAKES
TNFAIP3,кишка,36.476463317871094,32.520687103271484,4.760368347167969,0.1826801300048828,BRAKES
XIAP,кишка,22.302810668945312,23.323665618896484,-3.5864028930664062,-0.09066390991210938,BRAKES
CASP3,кишка,9.778640747070312,4.190845489501953,4.0484619140625,0.26326751708984375,Apoptosis executioners
CASP6,кишка,5.031700134277344,7.086826324462891,6.084785461425781,0.15984344482421875,Apoptosis executioners
CASP7,кишка,14.504074096679688,9.081501007080078,8.362884521484375,-0.4217720031738281,Apoptosis executioners
APAF1,кишка,14.665267944335938,9.162103652954102,1.3969497680664062,0.053730010986328125,Apoptosis initiators
BAK1,кишка,-1.9073715209960938,1.8160324096679688,1.8536453247070312,-0.18133926391601562,Apoptosis initiators
BAX,кишка,-2.3371963500976562,-0.8005599975585938,1.3378524780273438,-0.06447982788085938,Apoptosis initiators
CASP9,кишка,7.863208770751953,-5.900762557983398,6.353427886962891,0.11685943603515625,Apoptosis initiators
CYCS,кишка,7.832313537597656,1.7287216186523438,0.6071319580078125,-0.002685546875,Apoptosis initiators
DIABLO,кишка,-36.27095413208008,-37.4570198059082,1.30828857421875,-0.1235809326171875,Apoptosis initiators
MLKL,кишка,-8.91897201538086,2.1061668395996094,-9.034496307373047,-0.4002799987792969,Necroptosis executioners
PGAM5,кишка,-23.456642150878906,-11.85525131225586,-2.7938995361328125,0.20551300048828125,Necroptosis executioners
RIPK1,кишка,30.961204528808594,7.603963851928711,2.3372039794921875,0.24715232849121094,Necroptosis initiators
RIPK3,кишка,0.0,-2.170642852783203,-0.5292282104492188,-0.11283111572265625,Necroptosis initiators
ZBP1,кишка,2.9255313873291016,17.268428802490234,-3.761014938354492,-0.6017608642578125,Necroptosis initiators
GSDMB,кишка,12.078231811523438,15.383895874023438,5.4776458740234375,-0.16387367248535156,Pyroptosis executioners
GSDMD,кишка,10.211151123046875,16.122661590576172,-0.40296173095703125,-0.380126953125,Pyroptosis executioners
GSDME,кишка,-5.625402450561523,-8.062003135681152,0.4486351013183594,0.07656478881835938,Pyroptosis executioners
AIM2,кишка,-3.3929710388183594,11.532209396362305,-11.686009407043457,0.0,Pyroptosis initiators
CASP1,кишка,10.305179595947266,20.782960891723633,7.006229400634766,-0.6837005615234375,Pyroptosis initiators
CASP4,кишка,-20.637218475341797,-6.0270233154296875,-0.3008880615234375,-0.061786651611328125,Pyroptosis initiators
CASP5,кишка,25.709217071533203,16.681442260742188,7.648292541503906,-0.15178298950195312,Pyroptosis initiators
NLRC4,кишка,-5.69390869140625,-16.310041427612305,-0.1920795440673828,0.040297508239746094,Pyroptosis initiators
NLRP3,кишка,-9.00762939453125,7.066678047180176,-0.2793903350830078,0.0967111587524414,Pyroptosis initiators
PYCARD,кишка,13.896942138671875,24.697776794433594,6.318504333496094,0.6742973327636719,Pyroptosis initiators
CD274,кишка,-1.0477104187011719,-0.3626670837402344,-2.7294235229492188,0.10880088806152344,Inhibitory signals
CD47,кишка,-0.46341705322265625,5.274818420410156,-1.27069091796875,0.18536376953125,Inhibitory signals
CEACAM1,кишка,31.97936248779297,28.579679489135742,25.513107299804688,-0.08864974975585938,Inhibitory signals
HLA-E,кишка,19.175804138183594,9.926395416259766,2.8234481811523438,0.3223724365234375,Inhibitory signals
LGALS9,кишка,18.60895538330078,21.601654052734375,7.731575012207031,0.5198287963867188,Inhibitory signals
PDCD1LG2,кишка,-6.836986541748047,0.0,0.0,0.0,Inhibitory signals
B2M,кишка,5.1203460693359375,0.9026451110839844,0.6071319580078125,0.6863822937011719,MHC-I presentation
CALR,кишка,-0.660858154296875,0.16387557983398438,-0.30356597900390625,-0.037609100341796875,MHC-I presentation
ERAP1,кишка,8.912254333496094,0.4244575500488281,1.7139434814453125,0.1766357421875,MHC-I presentation
HLA-A,кишка,21.48210906982422,10.983509063720703,4.902748107910156,-0.09939956665039062,MHC-I presentation
HLA-B,кишка,18.083770751953125,6.916233062744141,0.3787841796875,0.3881874084472656,MHC-I presentation
HLA-C,кишка,24.053024291992188,16.56861114501953,7.812164306640625,-0.43520355224609375,MHC-I presentation
NLRC5,кишка,28.45207977294922,17.86616325378418,-6.783256530761719,-0.008058547973632812,MHC-I presentation
PSMB8,кишка,2.2485427856445312,7.668437957763672,-0.43788909912109375,-0.07790756225585938,MHC-I presentation
PSMB9,кишка,-5.695255279541016,15.246883392333984,-4.510536193847656,-0.259246826171875,MHC-I presentation
TAP1,кишка,-12.823715209960938,13.9708251953125,0.7065353393554688,0.20148468017578125,MHC-I presentation
TAP2,кишка,-19.670108795166016,-17.56931495666504,-10.794113159179688,-0.6245994567871094,MHC-I presentation
TAPBP,кишка,18.074363708496094,16.959491729736328,3.1565628051757812,-0.10208511352539062,MHC-I presentation
MICA,кишка,-8.174835205078125,5.9316558837890625,6.818183898925781,0.028202056884765625,NK activating ligands
MICB,кишка,-23.67827033996582,-11.280355453491211,-6.557598114013672,0.2901344299316406,NK activating ligands
NECTIN2,кишка,16.57263946533203,-0.8220481872558594,1.0960693359375,0.19745254516601562,NK activating ligands
PVR,кишка,-8.174835205078125,-24.36197280883789,-10.012351989746094,-0.2632713317871094,NK activating ligands
RAET1E,кишка,-17.99645233154297,-2.4204816818237305,-5.810768127441406,-0.12491989135742188,NK activating ligands
ULBP1,кишка,-20.102622985839844,-12.178972244262695,-1.2250137329101562,-0.17058753967285156,NK activating ligands
ULBP2,кишка,-30.692564010620117,-13.592037200927734,-8.314529418945312,-0.5890026092529297,NK activating ligands
ULBP3,кишка,-9.788040161132812,-34.61341857910156,-2.8019561767578125,-0.3586387634277344,NK activating ligands
BID,лёгкое,-17.856760025024414,8.322586059570312,7.656349182128906,-0.06984710693359375,ENTRY adaptors
CASP10,лёгкое,13.037286758422852,13.641738891601562,19.34638786315918,0.07253265380859375,ENTRY adaptors
CASP8,лёгкое,-1.7522315979003906,-1.026214599609375,7.270843505859375,-0.16924285888671875,ENTRY adaptors
FADD,лёгкое,-26.149797439575195,-3.4332656860351562,-3.263355255126953,-0.31162261962890625,ENTRY adaptors
TRADD,лёгкое,2.6024856567382812,21.71179962158203,10.626205444335938,0.18805694580078125,ENTRY adaptors
FAS,лёгкое,1.2021827697753906,-3.645496368408203,8.092899322509766,1.1068153381347656,ENTRY receptors
TNFRSF10A,лёгкое,-3.002765655517578,-8.284976959228516,2.2176551818847656,0.11551666259765625,ENTRY receptors
TNFRSF10B,лёгкое,20.60834503173828,-8.059310913085938,1.1215896606445312,-0.3599853515625,ENTRY receptors
TNFRSF1A,лёгкое,3.810710906982422,-0.0349273681640625,-2.951061248779297,-0.17998504638671875,ENTRY receptors
BCL2,лёгкое,34.33872985839844,-0.8542900085449219,-0.7616081237792969,-0.008060455322265625,BRAKES
BCL2L1,лёгкое,14.886226654052734,2.1357192993164062,5.957180023193359,0.13700103759765625,BRAKES
BIRC2,лёгкое,4.019584655761719,6.0256805419921875,0.080596923828125,-0.11551666259765625,BRAKES
BIRC3,лёгкое,14.78011703491211,21.950889587402344,15.734474182128906,-0.7602615356445312,BRAKES
CFLAR,лёгкое,25.328414916992188,15.199874877929688,6.361488342285156,0.2176055908203125,BRAKES
MCL1,лёгкое,12.428810119628906,4.0753326416015625,2.5655479431152344,-0.11551666259765625,BRAKES
TNFAIP3,лёгкое,29.94707679748535,19.199981689453125,-5.022300720214844,-0.3572959899902344,BRAKES
XIAP,лёгкое,19.183860778808594,18.896408081054688,-3.8348922729492188,0.17729949951171875,BRAKES
CASP3,лёгкое,-6.269474029541016,-1.5044097900390625,10.721572875976562,-0.06716156005859375,Apoptosis executioners
CASP6,лёгкое,-7.518667221069336,2.3721237182617188,15.664623260498047,-0.16119384765625,Apoptosis executioners
CASP7,лёгкое,-0.7387733459472656,2.0631866455078125,13.900981903076172,-0.19073486328125,Apoptosis executioners
APAF1,лёгкое,1.9113998413085938,-1.7032051086425781,2.1800460815429688,-0.2605857849121094,Apoptosis initiators
BAK1,лёгкое,-27.949708938598633,-3.8845901489257812,13.125938415527344,-0.3143157958984375,Apoptosis initiators
BAX,лёгкое,-0.2270050048828125,0.6608657836914062,-3.7972793579101562,-0.00269317626953125,Apoptosis initiators
CASP9,лёгкое,-9.494546890258789,-5.593162536621094,7.195629119873047,-0.19073486328125,Apoptosis initiators
CYCS,лёгкое,-0.048358917236328125,0.4378814697265625,-0.6326522827148438,0.0510406494140625,Apoptosis initiators
DIABLO,лёгкое,-43.56732177734375,-36.07618713378906,2.5830154418945312,0.1370086669921875,Apoptosis initiators
MLKL,лёгкое,-15.388593673706055,-7.051902770996094,-4.009510040283203,-0.16924667358398438,Necroptosis executioners
PGAM5,лёгкое,-27.25861930847168,-17.54513168334961,-8.325271606445312,-0.112823486328125,Necroptosis executioners
RIPK1,лёгкое,18.65060043334961,-0.3814697265625,6.06195068359375,0.02954864501953125,Necroptosis initiators
RIPK3,лёгкое,6.438051223754883,18.549861907958984,24.65747833251953,-0.8059329986572266,Necroptosis initiators
ZBP1,лёгкое,0.1423816680908203,21.316890716552734,22.458629608154297,0.0,Necroptosis initiators
GSDMB,лёгкое,2.1941471099853516,1.7381248474121094,13.249519348144531,0.16924667358398438,Pyroptosis executioners
GSDMD,лёгкое,3.243206024169922,13.182350158691406,7.492473602294922,-0.0725250244140625,Pyroptosis executioners
GSDME,лёгкое,-16.46115493774414,-14.450355529785156,-2.6783790588378906,-0.17461776733398438,Pyroptosis executioners
AIM2,лёгкое,-4.210993766784668,13.018484115600586,-2.6756935119628906,-0.35460853576660156,Pyroptosis initiators
CASP1,лёгкое,10.928430557250977,20.180526733398438,21.00123405456543,-0.24446487426757812,Pyroptosis initiators
CASP4,лёгкое,7.748359680175781,5.4776458740234375,7.297706604003906,0.0456695556640625,Pyroptosis initiators
CASP5,лёгкое,3.7321348190307617,0.0,15.281806945800781,0.0,Pyroptosis initiators
NLRC4,лёгкое,-1.4117240905761719,-7.653665542602539,-3.187459945678711,0.11014366149902344,Pyroptosis initiators
NLRP3,лёгкое,-2.4211530685424805,11.871373176574707,-11.723617553710938,0.0,Pyroptosis initiators
PYCARD,лёгкое,22.722570419311523,38.700836181640625,28.268054962158203,-0.07253646850585938,Pyroptosis initiators
CD274,лёгкое,-6.121051788330078,-6.858478546142578,-1.1551685333251953,0.01880645751953125,Inhibitory signals
CD47,лёгкое,15.548439025878906,7.7235107421875,6.916236877441406,0.0,Inhibitory signals
CEACAM1,лёгкое,4.053836822509766,25.92413330078125,36.18633270263672,0.3331184387207031,Inhibitory signals
HLA-E,лёгкое,20.523052215576172,14.146781921386719,10.607402801513672,0.091339111328125,Inhibitory signals
LGALS9,лёгкое,11.219911575317383,38.9291877746582,54.72813415527344,-0.0456695556640625,Inhibitory signals
PDCD1LG2,лёгкое,-5.859794616699219,-2.999408721923828,-9.291049003601074,-0.2820758819580078,Inhibitory signals
B2M,лёгкое,2.6004714965820312,1.3566513061523438,1.1390495300292969,0.840850830078125,MHC-I presentation
CALR,лёгкое,-0.2142486572265625,-0.0376129150390625,-0.6689224243164062,0.20148468017578125,MHC-I presentation
ERAP1,лёгкое,0.03894805908203125,-6.630134582519531,4.2700958251953125,0.0456695556640625,MHC-I presentation
HLA-A,лёгкое,19.95218276977539,12.357620239257812,7.053249359130859,-0.24446868896484375,MHC-I presentation
HLA-B,лёгкое,21.330322265625,12.900276184082031,10.242050170898438,-0.00806427001953125,MHC-I presentation
HLA-C,лёгкое,26.75290298461914,19.071022033691406,6.789974212646484,-0.3411712646484375,MHC-I presentation
NLRC5,лёгкое,-6.524688720703125,-6.3910369873046875,-4.685148239135742,-0.21760177612304688,MHC-I presentation
PSMB8,лёгкое,6.524013519287109,9.896835327148438,8.935096740722656,0.14507293701171875,MHC-I presentation
PSMB9,лёгкое,7.241294860839844,19.941429138183594,15.052787780761719,-0.15581512451171875,MHC-I presentation
